timestamp,vibration_mps2,temperature_c,current_ampere,health_status
2026-01-01 00:00:00,1.16,33.7,4.2,normal
2026-01-01 00:01:00,1.13,36.1,4.34,normal
2026-01-01 00:02:00,0.84,36.2,3.87,normal
2026-01-01 00:03:00,1.22,34.4,3.92,normal
2026-01-01 00:04:00,1.13,35.9,4.21,normal
2026-01-01 00:05:00,0.99,33.7,3.93,normal
2026-01-01 00:06:00,1.13,35.1,4.12,normal
2026-01-01 00:07:00,1.23,36.5,4.17,normal
2026-01-01 00:08:00,1.3,32.7,4.35,normal
2026-01-01 00:09:00,1.17,35.4,4.36,normal
2026-01-01 00:10:00,1.14,31.4,4.34,normal
2026-01-01 00:11:00,1.19,32.4,4.55,normal
2026-01-01 00:12:00,1.19,31.2,4.88,normal
2026-01-01 00:13:00,1.07,33.5,4.58,normal
2026-01-01 00:14:00,1.01,33.3,4.45,normal
2026-01-01 00:15:00,1.4,33.5,4.52,normal
2026-01-01 00:16:00,1.27,33.7,4.25,normal
2026-01-01 00:17:00,1.1,35.3,4.2,normal
2026-01-01 00:18:00,1.06,36.2,4.61,normal
2026-01-01 00:19:00,1.01,32.9,4.23,normal
2026-01-01 00:20:00,1.02,31.3,4.32,normal
2026-01-01 00:21:00,0.95,35.7,4.09,normal
2026-01-01 00:22:00,1.27,36.6,4.28,normal
2026-01-01 00:23:00,1.46,37.0,4.55,normal
2026-01-01 00:24:00,1.35,37.1,4.4,normal
2026-01-01 00:25:00,1.36,38.4,4.38,normal
2026-01-01 00:26:00,1.1,34.8,4.26,normal
2026-01-01 00:27:00,1.25,37.6,4.49,normal
2026-01-01 00:28:00,1.4,35.6,4.88,normal
2026-01-01 00:29:00,1.34,35.5,4.34,normal
2026-01-01 00:30:00,1.1,34.4,4.36,normal
2026-01-01 00:31:00,1.34,36.4,4.67,normal
2026-01-01 00:32:00,0.89,34.9,4.64,normal
2026-01-01 00:33:00,1.18,37.3,4.18,normal
2026-01-01 00:34:00,1.17,37.2,4.2,normal
2026-01-01 00:35:00,1.45,40.6,4.41,normal
2026-01-01 00:36:00,1.4,39.3,4.81,normal
2026-01-01 00:37:00,1.61,36.0,4.54,normal
2026-01-01 00:38:00,1.38,34.9,4.66,normal
2026-01-01 00:39:00,1.45,33.0,4.7,normal
2026-01-01 00:40:00,1.11,35.4,4.93,normal
2026-01-01 00:41:00,1.04,33.0,4.73,normal
2026-01-01 00:42:00,1.05,39.0,4.45,normal
2026-01-01 00:43:00,1.21,37.2,4.52,normal
2026-01-01 00:44:00,0.96,35.1,4.74,normal
2026-01-01 00:45:00,1.2,35.9,4.4,normal
2026-01-01 00:46:00,1.29,37.1,4.72,normal
2026-01-01 00:47:00,1.17,35.6,4.81,normal
2026-01-01 00:48:00,1.2,33.9,4.56,normal
2026-01-01 00:49:00,1.27,35.5,4.78,normal
2026-01-01 00:50:00,1.3,33.0,4.44,normal
2026-01-01 00:51:00,1.14,35.3,4.64,normal
2026-01-01 00:52:00,1.0,37.1,4.46,normal
2026-01-01 00:53:00,1.47,32.2,4.63,normal
2026-01-01 00:54:00,1.34,37.3,4.17,normal
2026-01-01 00:55:00,1.29,32.9,4.51,normal
2026-01-01 00:56:00,1.17,35.7,4.85,normal
2026-01-01 00:57:00,1.12,37.5,4.39,normal
2026-01-01 00:58:00,1.34,36.2,4.8,normal
2026-01-01 00:59:00,1.21,31.8,4.71,normal
2026-01-01 01:00:00,1.05,32.9,4.39,normal
2026-01-01 01:01:00,0.86,33.6,4.69,normal
2026-01-01 01:02:00,1.07,37.7,4.3,normal
2026-01-01 01:03:00,1.39,38.1,4.42,normal
2026-01-01 01:04:00,1.25,38.0,4.27,normal
2026-01-01 01:05:00,1.22,37.1,4.31,normal
2026-01-01 01:06:00,1.37,32.6,4.16,normal
2026-01-01 01:07:00,1.37,37.3,4.08,normal
2026-01-01 01:08:00,1.12,36.3,4.28,normal
2026-01-01 01:09:00,1.37,37.0,4.4,normal
2026-01-01 01:10:00,1.21,33.7,4.93,normal
2026-01-01 01:11:00,1.01,33.0,4.88,normal
2026-01-01 01:12:00,1.21,33.6,4.37,normal
2026-01-01 01:13:00,1.02,33.4,4.18,normal
2026-01-01 01:14:00,1.18,33.9,4.38,normal
2026-01-01 01:15:00,1.27,37.0,4.66,normal
2026-01-01 01:16:00,1.24,36.6,4.68,normal
2026-01-01 01:17:00,1.29,34.8,4.86,normal
2026-01-01 01:18:00,1.37,38.5,4.35,normal
2026-01-01 01:19:00,1.14,33.5,4.35,normal
2026-01-01 01:20:00,1.35,33.0,4.02,normal
2026-01-01 01:21:00,1.23,31.3,4.42,normal
2026-01-01 01:22:00,1.21,36.1,4.72,normal
2026-01-01 01:23:00,1.47,34.0,4.65,normal
2026-01-01 01:24:00,1.3,36.2,4.84,normal
2026-01-01 01:25:00,1.59,36.9,4.62,normal
2026-01-01 01:26:00,1.43,39.3,4.78,normal
2026-01-01 01:27:00,1.37,39.3,4.57,normal
2026-01-01 01:28:00,1.39,35.7,4.53,normal
2026-01-01 01:29:00,1.47,36.4,4.9,normal
2026-01-01 01:30:00,1.24,36.5,4.6,normal
2026-01-01 01:31:00,1.28,35.9,4.53,normal
2026-01-01 01:32:00,1.18,35.1,4.06,normal
2026-01-01 01:33:00,0.91,35.9,4.16,normal
2026-01-01 01:34:00,0.91,36.8,4.15,normal
2026-01-01 01:35:00,1.14,35.0,4.54,normal
2026-01-01 01:36:00,1.21,37.9,4.7,normal
2026-01-01 01:37:00,1.27,35.7,4.86,normal
2026-01-01 01:38:00,1.34,37.0,4.56,normal
2026-01-01 01:39:00,1.36,33.8,4.41,normal
2026-01-01 01:40:00,1.35,32.8,4.57,normal
2026-01-01 01:41:00,1.58,34.1,4.76,normal
2026-01-01 01:42:00,1.23,36.3,5.19,normal
2026-01-01 01:43:00,1.26,33.5,4.66,normal
2026-01-01 01:44:00,1.21,36.4,4.76,normal
2026-01-01 01:45:00,1.19,36.8,4.93,normal
2026-01-01 01:46:00,1.15,32.5,4.56,normal
2026-01-01 01:47:00,1.19,33.9,4.44,normal
2026-01-01 01:48:00,1.43,33.3,4.24,normal
2026-01-01 01:49:00,1.65,32.5,4.29,normal
2026-01-01 01:50:00,1.16,35.2,4.76,normal
