timestamp,vibration_mps2,temperature_c,current_ampere,health_status
2026-01-01 00:00:00,1.025,28.07,4.103,normal
2026-01-01 00:01:00,1.128,31.03,4.102,normal
2026-01-01 00:02:00,0.985,29.98,4.322,normal
2026-01-01 00:03:00,1.095,32.54,3.717,normal
2026-01-01 00:04:00,1.104,30.07,3.889,normal
2026-01-01 00:05:00,1.099,30.28,3.842,normal
2026-01-01 00:06:00,1.094,30.77,4.116,normal
2026-01-01 00:07:00,0.952,30.77,3.919,normal
2026-01-01 00:08:00,1.043,29.27,3.833,normal
2026-01-01 00:09:00,1.146,31.78,3.927,normal
2026-01-01 00:10:00,1.198,30.85,4.571,normal
2026-01-01 00:11:00,0.996,30.33,3.993,normal
2026-01-01 00:12:00,0.957,32.86,4.214,normal
2026-01-01 00:13:00,1.019,29.8,4.303,normal
2026-01-01 00:14:00,1.122,31.29,3.976,normal
2026-01-01 00:15:00,1.082,30.01,4.212,normal
2026-01-01 00:16:00,1.151,31.84,4.311,normal
2026-01-01 00:17:00,1.066,28.11,4.123,normal
2026-01-01 00:18:00,1.092,28.76,3.89,normal
2026-01-01 00:19:00,1.221,29.78,3.971,normal
2026-01-01 00:20:00,1.057,29.76,3.787,normal
2026-01-01 00:21:00,1.11,30.51,3.867,normal
2026-01-01 00:22:00,1.021,30.58,4.412,normal
2026-01-01 00:23:00,0.94,31.46,3.977,normal
2026-01-01 00:24:00,1.086,30.57,3.887,normal
2026-01-01 00:25:00,1.045,29.62,4.048,normal
2026-01-01 00:26:00,1.03,29.32,4.056,normal
2026-01-01 00:27:00,1.142,31.01,3.728,normal
2026-01-01 00:28:00,0.908,33.62,3.795,normal
2026-01-01 00:29:00,1.163,30.57,4.467,normal
2026-01-01 00:30:00,1.026,32.16,4.488,normal
2026-01-01 00:31:00,1.1,30.23,4.198,normal
2026-01-01 00:32:00,1.135,30.37,4.027,normal
2026-01-01 00:33:00,1.079,30.97,3.843,normal
2026-01-01 00:34:00,0.949,30.59,3.633,normal
2026-01-01 00:35:00,0.988,29.42,4.178,normal
2026-01-01 00:36:00,1.032,29.68,4.05,normal
2026-01-01 00:37:00,1.08,30.04,3.935,normal
2026-01-01 00:38:00,1.029,29.83,3.881,normal
2026-01-01 00:39:00,1.053,29.06,4.314,normal
2026-01-01 00:40:00,1.039,32.45,4.068,normal
2026-01-01 00:41:00,1.123,32.05,4.112,normal
2026-01-01 00:42:00,1.032,31.3,4.113,normal
2026-01-01 00:43:00,1.084,30.25,3.891,normal
2026-01-01 00:44:00,1.022,31.24,4.047,normal
2026-01-01 00:45:00,1.024,32.34,4.138,normal
2026-01-01 00:46:00,0.883,29.89,3.987,normal
2026-01-01 00:47:00,1.072,31.41,4.284,normal
2026-01-01 00:48:00,1.036,28.6,3.678,normal
2026-01-01 00:49:00,1.018,30.92,4.013,normal
2026-01-01 00:50:00,0.999,31.86,3.912,normal
2026-01-01 00:51:00,1.055,32.53,3.918,normal
2026-01-01 00:52:00,1.129,29.3,4.057,normal
2026-01-01 00:53:00,1.108,30.13,4.147,normal
2026-01-01 00:54:00,1.11,28.97,4.124,normal
2026-01-01 00:55:00,1.003,30.7,4.256,normal
2026-01-01 00:56:00,1.087,30.5,4.318,normal
2026-01-01 00:57:00,1.061,30.66,3.891,normal
2026-01-01 00:58:00,1.095,28.7,4.136,normal
2026-01-01 00:59:00,1.093,30.68,4.031,normal
2026-01-01 01:00:00,1.038,30.87,4.609,normal
2026-01-01 01:01:00,1.049,30.62,3.842,normal
2026-01-01 01:02:00,1.106,30.37,4.372,normal
2026-01-01 01:03:00,1.014,32.61,4.024,normal
2026-01-01 01:04:00,0.988,29.66,3.595,normal
2026-01-01 01:05:00,1.055,30.17,3.729,normal
2026-01-01 01:06:00,0.905,28.71,3.542,normal
2026-01-01 01:07:00,0.982,30.53,4.033,normal
2026-01-01 01:08:00,1.056,29.28,3.947,normal
2026-01-01 01:09:00,1.033,30.57,4.192,normal
2026-01-01 01:10:00,0.986,32.73,4.323,normal
2026-01-01 01:11:00,1.02,31.53,4.181,normal
2026-01-01 01:12:00,1.088,31.77,4.156,normal
2026-01-01 01:13:00,1.107,29.42,3.693,normal
2026-01-01 01:14:00,1.0,33.34,4.108,normal
2026-01-01 01:15:00,0.963,30.66,4.14,normal
2026-01-01 01:16:00,1.053,30.27,4.354,normal
2026-01-01 01:17:00,1.215,31.6,3.921,normal
2026-01-01 01:18:00,0.921,29.41,3.963,normal
2026-01-01 01:19:00,1.014,31.38,4.726,normal
2026-01-01 01:20:00,1.029,28.42,3.779,normal
2026-01-01 01:21:00,1.13,30.49,4.1,normal
2026-01-01 01:22:00,1.073,28.06,3.991,normal
2026-01-01 01:23:00,1.116,31.04,4.008,normal
2026-01-01 01:24:00,0.941,30.04,3.927,normal
2026-01-01 01:25:00,0.959,29.82,4.02,normal
2026-01-01 01:26:00,0.962,30.27,3.884,normal
2026-01-01 01:27:00,0.98,32.52,4.45,normal
2026-01-01 01:28:00,1.035,30.88,4.227,normal
2026-01-01 01:29:00,1.11,30.28,4.169,normal
2026-01-01 01:30:00,1.039,32.9,3.664,normal
2026-01-01 01:31:00,1.068,32.89,4.033,normal
2026-01-01 01:32:00,1.036,27.61,3.853,normal
2026-01-01 01:33:00,0.991,31.73,3.827,normal
2026-01-01 01:34:00,1.116,29.37,4.054,normal
2026-01-01 01:35:00,0.999,32.27,4.31,normal
2026-01-01 01:36:00,0.958,33.11,4.478,normal
2026-01-01 01:37:00,1.042,32.17,4.29,normal
2026-01-01 01:38:00,1.158,32.73,4.008,normal
2026-01-01 01:39:00,1.06,30.64,4.069,normal
2026-01-01 01:40:00,1.054,30.06,3.686,normal
2026-01-01 01:41:00,1.005,30.84,4.46,normal
2026-01-01 01:42:00,0.997,32.3,4.289,normal
2026-01-01 01:43:00,1.068,31.19,4.195,normal
2026-01-01 01:44:00,1.204,30.3,3.946,normal
2026-01-01 01:45:00,1.108,30.41,4.184,normal
2026-01-01 01:46:00,0.87,32.24,4.086,normal
2026-01-01 01:47:00,0.997,32.61,3.72,normal
2026-01-01 01:48:00,1.135,32.04,3.941,normal
2026-01-01 01:49:00,1.008,30.7,4.454,normal
2026-01-01 01:50:00,1.072,30.59,3.912,normal
2026-01-01 01:51:00,1.014,31.37,4.013,normal
2026-01-01 01:52:00,0.989,30.3,3.87,normal
2026-01-01 01:53:00,1.023,29.07,4.308,normal
2026-01-01 01:54:00,1.018,32.29,3.887,normal
2026-01-01 01:55:00,1.3,29.57,3.626,normal
2026-01-01 01:56:00,1.067,31.96,4.146,normal
2026-01-01 01:57:00,0.88,32.76,4.385,normal
2026-01-01 01:58:00,1.148,33.48,3.974,normal
2026-01-01 01:59:00,0.993,33.24,3.857,normal
2026-01-01 02:00:00,0.998,29.64,4.073,normal
2026-01-01 02:01:00,1.014,32.1,4.348,normal
2026-01-01 02:02:00,1.101,29.7,3.765,normal
2026-01-01 02:03:00,1.079,31.04,3.917,normal
2026-01-01 02:04:00,1.083,31.18,3.743,normal
2026-01-01 02:05:00,1.165,33.88,4.36,normal
2026-01-01 02:06:00,1.011,32.14,4.18,normal
2026-01-01 02:07:00,1.036,31.33,4.218,normal
2026-01-01 02:08:00,1.207,31.69,4.046,normal
2026-01-01 02:09:00,1.14,31.97,3.921,normal
2026-01-01 02:10:00,1.178,32.78,3.871,normal
2026-01-01 02:11:00,1.13,33.33,4.512,normal
2026-01-01 02:12:00,1.08,33.0,4.258,normal
2026-01-01 02:13:00,1.12,29.92,3.89,normal
2026-01-01 02:14:00,1.134,32.34,3.685,normal
2026-01-01 02:15:00,0.934,34.39,3.517,normal
2026-01-01 02:16:00,1.243,30.8,3.77,normal
2026-01-01 02:17:00,1.081,31.06,3.963,normal
2026-01-01 02:18:00,1.113,31.15,4.086,normal
2026-01-01 02:19:00,1.045,31.53,4.259,normal
2026-01-01 02:20:00,0.998,30.12,3.758,normal
2026-01-01 02:21:00,0.989,32.31,3.981,normal
2026-01-01 02:22:00,1.01,30.17,4.042,normal
2026-01-01 02:23:00,0.954,33.89,4.632,normal
2026-01-01 02:24:00,1.064,30.6,3.932,normal
2026-01-01 02:25:00,0.939,32.85,4.011,normal
2026-01-01 02:26:00,0.912,32.15,3.885,normal
2026-01-01 02:27:00,1.001,32.56,4.074,normal
2026-01-01 02:28:00,1.244,32.11,3.933,normal
2026-01-01 02:29:00,1.062,31.24,3.862,normal
2026-01-01 02:30:00,1.031,34.19,3.99,normal
2026-01-01 02:31:00,1.132,31.4,3.706,normal
2026-01-01 02:32:00,1.111,32.0,4.182,normal
2026-01-01 02:33:00,1.103,31.81,3.984,normal
2026-01-01 02:34:00,1.195,26.24,4.112,normal
2026-01-01 02:35:00,1.117,30.19,3.827,normal
2026-01-01 02:36:00,0.983,33.05,4.148,normal
2026-01-01 02:37:00,1.067,31.74,4.006,normal
2026-01-01 02:38:00,1.151,32.71,4.069,normal
2026-01-01 02:39:00,1.063,31.07,4.391,normal
2026-01-01 02:40:00,1.032,32.87,4.163,normal
2026-01-01 02:41:00,1.074,30.88,4.047,normal
2026-01-01 02:42:00,0.918,33.76,3.951,normal
2026-01-01 02:43:00,1.039,31.23,4.276,normal
2026-01-01 02:44:00,1.114,33.72,3.977,normal
2026-01-01 02:45:00,1.005,30.5,3.917,normal
2026-01-01 02:46:00,1.055,30.75,3.81,normal
2026-01-01 02:47:00,1.076,31.74,3.931,normal
2026-01-01 02:48:00,1.033,31.14,4.192,normal
2026-01-01 02:49:00,1.203,32.07,4.159,normal
2026-01-01 02:50:00,0.866,30.73,3.991,normal
2026-01-01 02:51:00,1.104,31.51,3.804,normal
2026-01-01 02:52:00,1.023,32.77,4.191,normal
2026-01-01 02:53:00,1.108,33.25,4.312,normal
2026-01-01 02:54:00,1.027,33.02,4.117,normal
2026-01-01 02:55:00,1.095,30.24,3.894,normal
2026-01-01 02:56:00,1.07,31.38,4.317,normal
2026-01-01 02:57:00,0.981,32.52,4.181,normal
2026-01-01 02:58:00,0.912,31.01,4.244,normal
2026-01-01 02:59:00,1.046,32.1,4.239,normal
2026-01-01 03:00:00,1.172,31.17,4.023,normal
2026-01-01 03:01:00,1.171,32.74,4.296,normal
2026-01-01 03:02:00,1.118,31.56,4.002,normal
2026-01-01 03:03:00,1.084,31.35,3.822,normal
2026-01-01 03:04:00,1.039,31.61,3.604,normal
2026-01-01 03:05:00,1.137,33.26,4.255,normal
2026-01-01 03:06:00,1.053,33.47,4.236,normal
2026-01-01 03:07:00,1.202,29.71,3.877,normal
2026-01-01 03:08:00,1.164,31.8,4.117,normal
2026-01-01 03:09:00,1.066,31.46,3.821,normal
2026-01-01 03:10:00,0.93,33.98,4.005,normal
2026-01-01 03:11:00,1.136,33.0,3.727,normal
2026-01-01 03:12:00,0.903,32.43,4.159,normal
2026-01-01 03:13:00,1.109,32.2,4.016,normal
2026-01-01 03:14:00,1.103,30.12,4.12,normal
2026-01-01 03:15:00,0.901,30.72,4.371,normal
2026-01-01 03:16:00,1.005,33.88,3.734,normal
2026-01-01 03:17:00,1.027,32.29,4.366,normal
2026-01-01 03:18:00,1.018,31.02,4.109,normal
2026-01-01 03:19:00,1.063,33.53,4.274,normal
2026-01-01 03:20:00,0.961,31.5,4.459,normal
2026-01-01 03:21:00,1.052,31.48,4.158,normal
2026-01-01 03:22:00,0.868,32.13,4.029,normal
2026-01-01 03:23:00,0.877,30.1,3.793,normal
2026-01-01 03:24:00,0.932,31.41,4.028,normal
2026-01-01 03:25:00,1.086,33.46,4.17,normal
2026-01-01 03:26:00,1.203,31.65,3.873,normal
2026-01-01 03:27:00,1.181,32.47,3.913,normal
2026-01-01 03:28:00,1.083,30.82,3.904,normal
2026-01-01 03:29:00,1.044,31.92,4.178,normal
2026-01-01 03:30:00,1.146,33.99,4.242,normal
2026-01-01 03:31:00,1.209,31.86,3.752,normal
2026-01-01 03:32:00,1.12,32.21,3.61,normal
2026-01-01 03:33:00,0.956,33.1,3.904,normal
2026-01-01 03:34:00,1.129,32.35,4.38,normal
2026-01-01 03:35:00,1.05,31.93,4.15,normal
2026-01-01 03:36:00,0.966,32.99,4.386,normal
2026-01-01 03:37:00,0.978,31.81,4.135,normal
2026-01-01 03:38:00,1.102,30.87,4.159,normal
2026-01-01 03:39:00,1.02,28.87,4.078,normal
2026-01-01 03:40:00,0.994,30.06,4.179,normal
2026-01-01 03:41:00,1.067,31.61,4.204,normal
2026-01-01 03:42:00,1.102,33.8,4.123,normal
2026-01-01 03:43:00,1.001,33.07,4.32,normal
2026-01-01 03:44:00,0.96,33.5,3.729,normal
2026-01-01 03:45:00,1.016,31.61,4.181,normal
2026-01-01 03:46:00,1.138,32.84,3.972,normal
2026-01-01 03:47:00,1.079,29.63,4.259,normal
2026-01-01 03:48:00,1.015,31.82,4.316,normal
2026-01-01 03:49:00,1.043,30.02,3.991,normal
2026-01-01 03:50:00,1.182,30.32,3.671,normal
2026-01-01 03:51:00,1.052,31.52,4.428,normal
2026-01-01 03:52:00,1.045,32.53,4.24,normal
2026-01-01 03:53:00,1.084,32.17,3.801,normal
2026-01-01 03:54:00,0.982,32.24,4.221,normal
2026-01-01 03:55:00,1.049,32.49,3.974,normal
2026-01-01 03:56:00,1.068,32.9,3.974,normal
2026-01-01 03:57:00,0.967,33.05,3.851,normal
2026-01-01 03:58:00,0.98,32.73,4.303,normal
2026-01-01 03:59:00,0.998,29.9,4.178,normal
2026-01-01 04:00:00,1.043,31.68,3.759,normal
2026-01-01 04:01:00,1.122,34.64,4.018,normal
2026-01-01 04:02:00,1.126,31.19,3.846,normal
2026-01-01 04:03:00,1.172,32.72,3.878,normal
2026-01-01 04:04:00,1.001,31.69,3.841,normal
2026-01-01 04:05:00,1.033,31.23,3.985,normal
2026-01-01 04:06:00,0.96,33.79,4.187,normal
2026-01-01 04:07:00,0.927,31.89,4.112,normal
2026-01-01 04:08:00,1.206,32.44,4.223,normal
2026-01-01 04:09:00,1.007,32.44,4.335,normal
2026-01-01 04:10:00,0.896,33.53,4.16,normal
2026-01-01 04:11:00,1.024,31.78,4.01,normal
2026-01-01 04:12:00,0.876,31.14,3.831,normal
2026-01-01 04:13:00,0.974,30.62,4.102,normal
2026-01-01 04:14:00,1.056,33.51,4.279,normal
2026-01-01 04:15:00,1.131,30.68,3.903,normal
2026-01-01 04:16:00,1.01,31.14,4.211,normal
2026-01-01 04:17:00,0.873,33.37,3.761,normal
2026-01-01 04:18:00,1.082,31.75,3.921,normal
2026-01-01 04:19:00,1.045,35.68,3.893,normal
2026-01-01 04:20:00,1.084,32.12,3.837,normal
2026-01-01 04:21:00,1.223,32.79,3.531,normal
2026-01-01 04:22:00,1.149,31.34,3.752,normal
2026-01-01 04:23:00,0.973,29.55,4.175,normal
2026-01-01 04:24:00,1.057,31.67,4.148,normal
2026-01-01 04:25:00,1.19,31.59,4.169,normal
2026-01-01 04:26:00,1.026,32.04,4.445,normal
2026-01-01 04:27:00,1.007,31.51,3.979,normal
2026-01-01 04:28:00,1.134,32.4,3.92,normal
2026-01-01 04:29:00,0.92,33.72,4.058,normal
2026-01-01 04:30:00,0.929,30.94,4.055,normal
2026-01-01 04:31:00,1.081,30.45,4.289,normal
2026-01-01 04:32:00,1.18,30.28,4.189,normal
2026-01-01 04:33:00,1.02,32.19,4.049,normal
2026-01-01 04:34:00,0.929,31.58,4.139,normal
2026-01-01 04:35:00,1.005,34.03,3.999,normal
2026-01-01 04:36:00,0.975,33.63,3.885,normal
2026-01-01 04:37:00,1.069,34.47,4.261,normal
2026-01-01 04:38:00,1.126,32.95,4.155,normal
2026-01-01 04:39:00,1.037,31.78,3.971,normal
2026-01-01 04:40:00,0.88,31.7,4.064,normal
2026-01-01 04:41:00,1.093,33.17,3.724,normal
2026-01-01 04:42:00,1.037,32.46,3.882,normal
2026-01-01 04:43:00,0.991,33.01,3.782,normal
2026-01-01 04:44:00,0.991,32.64,4.212,normal
2026-01-01 04:45:00,1.065,30.15,3.961,normal
2026-01-01 04:46:00,1.002,32.23,4.172,normal
2026-01-01 04:47:00,1.071,34.16,3.72,normal
2026-01-01 04:48:00,0.91,34.44,4.018,normal
2026-01-01 04:49:00,1.036,30.69,4.078,normal
2026-01-01 04:50:00,1.009,32.7,4.275,normal
2026-01-01 04:51:00,1.051,32.53,3.991,normal
2026-01-01 04:52:00,0.951,33.02,4.031,normal
2026-01-01 04:53:00,1.042,32.38,4.032,normal
2026-01-01 04:54:00,1.054,32.28,3.823,normal
2026-01-01 04:55:00,1.113,31.77,3.703,normal
2026-01-01 04:56:00,1.081,31.52,4.084,normal
2026-01-01 04:57:00,0.985,30.77,3.921,normal
2026-01-01 04:58:00,1.129,31.46,3.973,normal
2026-01-01 04:59:00,1.15,29.79,3.993,normal
2026-01-01 05:00:00,0.927,33.14,3.594,normal
2026-01-01 05:01:00,1.078,33.61,4.252,normal
2026-01-01 05:02:00,0.944,30.95,4.142,normal
2026-01-01 05:03:00,1.077,33.5,3.934,normal
2026-01-01 05:04:00,1.038,32.95,3.908,normal
2026-01-01 05:05:00,1.047,33.1,3.929,normal
2026-01-01 05:06:00,0.943,32.21,4.191,normal
2026-01-01 05:07:00,1.022,28.54,3.847,normal
2026-01-01 05:08:00,1.056,32.31,4.227,normal
2026-01-01 05:09:00,1.002,34.17,3.839,normal
2026-01-01 05:10:00,1.065,35.53,3.907,normal
2026-01-01 05:11:00,1.096,29.77,3.818,normal
2026-01-01 05:12:00,0.979,33.26,4.094,normal
2026-01-01 05:13:00,1.059,34.36,4.149,normal
2026-01-01 05:14:00,1.016,32.87,4.031,normal
2026-01-01 05:15:00,1.046,33.07,3.943,normal
2026-01-01 05:16:00,1.023,30.95,4.208,normal
2026-01-01 05:17:00,1.0,32.87,3.783,normal
2026-01-01 05:18:00,1.195,30.98,3.72,normal
2026-01-01 05:19:00,1.144,31.64,3.846,normal
2026-01-01 05:20:00,1.106,33.5,4.181,normal
2026-01-01 05:21:00,1.024,29.78,4.016,normal
2026-01-01 05:22:00,1.077,32.5,3.857,normal
2026-01-01 05:23:00,1.018,30.86,4.048,normal
2026-01-01 05:24:00,1.068,31.09,3.965,normal
2026-01-01 05:25:00,0.91,32.49,4.616,normal
2026-01-01 05:26:00,1.161,34.49,4.349,normal
2026-01-01 05:27:00,0.96,32.6,4.235,normal
2026-01-01 05:28:00,0.934,31.65,4.016,normal
2026-01-01 05:29:00,1.135,30.88,4.043,normal
2026-01-01 05:30:00,0.996,30.38,3.856,normal
2026-01-01 05:31:00,1.092,33.05,4.047,normal
2026-01-01 05:32:00,1.064,32.63,3.991,normal
2026-01-01 05:33:00,0.979,33.92,4.452,normal
2026-01-01 05:34:00,1.168,32.95,3.844,normal
2026-01-01 05:35:00,0.925,30.43,4.467,normal
2026-01-01 05:36:00,1.038,33.03,3.944,normal
2026-01-01 05:37:00,1.093,32.69,4.124,normal
2026-01-01 05:38:00,1.108,34.22,4.25,normal
2026-01-01 05:39:00,0.99,35.98,4.154,normal
2026-01-01 05:40:00,0.957,33.81,3.993,normal
2026-01-01 05:41:00,0.959,31.22,4.184,normal
2026-01-01 05:42:00,0.964,32.44,3.652,normal
2026-01-01 05:43:00,1.059,31.56,4.168,normal
2026-01-01 05:44:00,1.01,33.19,3.96,normal
2026-01-01 05:45:00,0.928,34.42,3.915,normal
2026-01-01 05:46:00,0.813,34.06,4.257,normal
2026-01-01 05:47:00,1.068,31.47,4.281,normal
2026-01-01 05:48:00,1.005,31.72,4.332,normal
2026-01-01 05:49:00,1.106,31.59,3.989,normal
2026-01-01 05:50:00,1.122,31.66,4.119,normal
2026-01-01 05:51:00,1.028,32.98,4.252,normal
2026-01-01 05:52:00,0.93,31.34,3.865,normal
2026-01-01 05:53:00,0.973,32.06,3.872,normal
2026-01-01 05:54:00,1.08,31.27,4.103,normal
2026-01-01 05:55:00,0.958,32.69,4.247,normal
2026-01-01 05:56:00,1.033,30.4,4.109,normal
2026-01-01 05:57:00,0.95,31.61,4.149,normal
2026-01-01 05:58:00,1.03,31.48,3.954,normal
2026-01-01 05:59:00,0.984,32.99,4.115,normal
2026-01-01 06:00:00,1.098,31.2,3.907,normal
2026-01-01 06:01:00,0.956,34.01,4.423,normal
2026-01-01 06:02:00,0.978,33.77,4.069,normal
2026-01-01 06:03:00,1.072,33.88,4.204,normal
2026-01-01 06:04:00,0.939,33.9,3.937,normal
2026-01-01 06:05:00,1.159,34.53,3.852,normal
2026-01-01 06:06:00,1.129,30.94,4.032,normal
2026-01-01 06:07:00,0.933,31.99,4.286,normal
2026-01-01 06:08:00,1.008,33.63,3.819,normal
2026-01-01 06:09:00,1.117,34.31,4.044,normal
2026-01-01 06:10:00,1.016,30.97,3.93,normal
2026-01-01 06:11:00,1.063,32.72,4.351,normal
2026-01-01 06:12:00,0.952,31.02,3.936,normal
2026-01-01 06:13:00,1.035,31.32,4.137,normal
2026-01-01 06:14:00,1.027,32.92,3.909,normal
2026-01-01 06:15:00,1.01,30.08,4.117,normal
2026-01-01 06:16:00,1.029,31.68,4.389,normal
2026-01-01 06:17:00,1.119,32.04,3.933,normal
2026-01-01 06:18:00,0.976,32.71,4.011,normal
2026-01-01 06:19:00,1.07,33.72,4.252,normal
2026-01-01 06:20:00,1.057,33.07,3.995,normal
2026-01-01 06:21:00,1.214,32.61,3.962,normal
2026-01-01 06:22:00,1.021,33.42,3.772,normal
2026-01-01 06:23:00,1.086,32.82,3.868,normal
2026-01-01 06:24:00,1.086,29.46,4.122,normal
2026-01-01 06:25:00,1.055,30.97,3.902,normal
2026-01-01 06:26:00,1.065,32.34,4.01,normal
2026-01-01 06:27:00,1.104,33.23,4.22,normal
2026-01-01 06:28:00,1.073,32.9,4.086,normal
2026-01-01 06:29:00,1.001,31.56,3.599,normal
2026-01-01 06:30:00,1.018,32.17,4.022,normal
2026-01-01 06:31:00,1.005,31.34,3.82,normal
2026-01-01 06:32:00,1.154,30.83,4.242,normal
2026-01-01 06:33:00,1.014,31.73,4.232,normal
2026-01-01 06:34:00,1.037,32.31,4.04,normal
2026-01-01 06:35:00,1.086,31.63,4.065,normal
2026-01-01 06:36:00,0.954,34.4,3.938,normal
2026-01-01 06:37:00,1.023,30.51,3.822,normal
2026-01-01 06:38:00,0.873,34.14,4.253,normal
2026-01-01 06:39:00,1.091,30.98,4.18,normal
2026-01-01 06:40:00,1.14,31.83,4.088,normal
2026-01-01 06:41:00,1.038,33.6,4.098,normal
2026-01-01 06:42:00,0.99,32.87,4.036,normal
2026-01-01 06:43:00,1.013,34.91,4.3,normal
2026-01-01 06:44:00,1.121,32.36,4.102,normal
2026-01-01 06:45:00,1.031,31.75,4.062,normal
2026-01-01 06:46:00,1.09,34.42,4.155,normal
2026-01-01 06:47:00,1.074,31.68,4.092,normal
2026-01-01 06:48:00,0.978,32.21,3.864,normal
2026-01-01 06:49:00,1.13,33.14,3.944,normal
2026-01-01 06:50:00,1.189,33.14,3.903,normal
2026-01-01 06:51:00,1.143,32.13,4.037,normal
2026-01-01 06:52:00,0.991,33.15,3.99,normal
2026-01-01 06:53:00,0.978,32.0,3.727,normal
2026-01-01 06:54:00,1.105,30.65,4.096,normal
2026-01-01 06:55:00,1.116,31.3,4.088,normal
2026-01-01 06:56:00,1.025,32.33,4.116,normal
2026-01-01 06:57:00,0.993,30.62,3.698,normal
2026-01-01 06:58:00,1.098,32.5,4.194,normal
2026-01-01 06:59:00,1.008,31.05,3.763,normal
2026-01-01 07:00:00,1.072,31.8,4.107,normal
2026-01-01 07:01:00,1.119,31.38,4.006,normal
2026-01-01 07:02:00,0.963,32.72,3.971,normal
2026-01-01 07:03:00,1.083,32.52,3.948,normal
2026-01-01 07:04:00,0.917,32.2,3.892,normal
2026-01-01 07:05:00,1.205,33.01,4.082,normal
2026-01-01 07:06:00,1.092,33.24,4.207,normal
2026-01-01 07:07:00,1.143,30.81,3.976,normal
2026-01-01 07:08:00,0.966,34.44,4.2,normal
2026-01-01 07:09:00,1.024,32.61,4.107,normal
2026-01-01 07:10:00,1.115,31.92,3.986,normal
2026-01-01 07:11:00,1.0,34.47,3.922,normal
2026-01-01 07:12:00,1.052,32.38,4.227,normal
2026-01-01 07:13:00,0.999,32.47,4.046,normal
2026-01-01 07:14:00,1.072,31.4,3.74,normal
2026-01-01 07:15:00,0.999,32.05,4.067,normal
2026-01-01 07:16:00,1.05,31.03,4.083,normal
2026-01-01 07:17:00,1.119,33.68,3.836,normal
2026-01-01 07:18:00,1.111,34.07,4.107,normal
2026-01-01 07:19:00,1.01,32.83,3.976,normal
2026-01-01 07:20:00,1.198,33.12,4.04,normal
2026-01-01 07:21:00,0.881,32.9,3.803,normal
2026-01-01 07:22:00,1.019,32.86,4.129,normal
2026-01-01 07:23:00,1.069,33.52,4.002,normal
2026-01-01 07:24:00,1.143,32.88,3.934,normal
2026-01-01 07:25:00,1.069,33.94,4.189,normal
2026-01-01 07:26:00,1.182,32.95,4.064,normal
2026-01-01 07:27:00,1.204,33.17,3.853,normal
2026-01-01 07:28:00,1.171,31.02,4.252,normal
2026-01-01 07:29:00,1.144,32.45,4.434,normal
2026-01-01 07:30:00,1.026,32.72,3.829,normal
2026-01-01 07:31:00,1.08,29.75,3.949,normal
2026-01-01 07:32:00,0.885,31.06,3.88,normal
2026-01-01 07:33:00,0.904,32.7,4.159,normal
2026-01-01 07:34:00,1.113,31.55,3.715,normal
2026-01-01 07:35:00,1.059,35.42,4.07,normal
2026-01-01 07:36:00,0.88,30.41,4.243,normal
2026-01-01 07:37:00,0.921,33.56,3.781,normal
2026-01-01 07:38:00,1.108,31.27,4.079,normal
2026-01-01 07:39:00,1.015,31.63,3.939,normal
2026-01-01 07:40:00,1.122,33.87,3.813,normal
2026-01-01 07:41:00,0.968,31.94,4.331,normal
2026-01-01 07:42:00,1.036,33.3,4.199,normal
2026-01-01 07:43:00,1.045,34.18,3.787,normal
2026-01-01 07:44:00,1.102,34.76,3.621,normal
2026-01-01 07:45:00,0.961,32.98,4.563,normal
2026-01-01 07:46:00,1.067,33.67,4.055,normal
2026-01-01 07:47:00,1.021,30.65,4.169,normal
2026-01-01 07:48:00,1.118,33.84,4.138,normal
2026-01-01 07:49:00,1.17,30.85,4.355,normal
2026-01-01 07:50:00,1.071,32.21,3.793,normal
2026-01-01 07:51:00,1.157,31.76,3.896,normal
2026-01-01 07:52:00,1.004,31.28,3.882,normal
2026-01-01 07:53:00,0.985,29.63,4.186,normal
2026-01-01 07:54:00,1.008,31.19,3.982,normal
2026-01-01 07:55:00,1.021,29.32,3.987,normal
2026-01-01 07:56:00,1.103,34.19,4.079,normal
2026-01-01 07:57:00,0.938,32.0,4.045,normal
2026-01-01 07:58:00,1.165,32.33,4.14,normal
2026-01-01 07:59:00,0.955,31.78,4.215,normal
2026-01-01 08:00:00,1.077,32.59,3.841,normal
2026-01-01 08:01:00,1.064,30.32,4.243,normal
2026-01-01 08:02:00,1.115,32.51,3.779,normal
2026-01-01 08:03:00,1.116,33.7,3.498,normal
2026-01-01 08:04:00,1.058,32.41,4.155,normal
2026-01-01 08:05:00,0.838,32.75,4.148,normal
2026-01-01 08:06:00,1.042,31.53,3.773,normal
2026-01-01 08:07:00,0.977,32.54,3.88,normal
2026-01-01 08:08:00,1.199,31.14,3.8,normal
